#Table1
objid,ra,dec,magnitude,redshift
1237667447807475993,194.683858588702,24.9049730176526,20.69731,0.4256584
1237665440442024019,194.696196024808,28.4699488240129,18.4051,0.08500101
1237665440442024094,194.703919061709,28.5399979627666,17.88403,0.02096941
1237667324334506291,194.711750032724,28.006993538058,18.49622,0.02490416
1237667911134019795,194.723955939561,24.424555680134,21.18254,0.3721044
1237667444048592965,194.727648509536,27.7956168189585,17.18696,0.02158206
1237667912206385801,191.420359109331,25.2915296126658,22.35317,0.6372198
1237665442052506378,194.598022233132,29.670019183259,22.51482,0.6232979
1237667442974851589,194.632522813509,27.0948155379446,20.95114,0.2814717
1237667323260764183,194.639623949222,27.2688585481131,18.46584,0.1531809
1237667447807673088,195.33142252346,25.0530626960366,21.80374,0.3175502
1237667442975113373,195.375114441578,27.0097372888766,17.31167,0.07740063
1237667323261026410,195.390089533688,27.1621487210998,18.69012,0.2334629
1237667323796259468,191.197264184927,27.9389397698463,21.80486,0.5214021
1237667443510739389,192.138364405793,27.6096902627722,21.62687,0.5277241
1237667322186039367,192.160477729341,26.5914992873537,18.10451,0.08499829
1237667254018900120,193.173165781142,29.5835748145955,17.6334,0.1464384
1237665442051981436,193.193998471583,29.8287480876451,17.37881,0.1104038
1237667252945223774,193.199759374552,28.8552449378517,18.7602,0.1969268
1237667441902026845,196.945100096095,26.112887419524,16.96017,0.09365142
1237667912744370270,194.151973852142,25.5661838588445,18.25428,0.1130668
1237667252945616973,194.157460480189,28.7033337426515,18.12746,0.03466807
1237667323797438607,194.21870119254,27.7044881799494,18.08595,0.1530354
1237667321648710103,190.918978529809,26.2302167760126,21.58632,0.4822219
1237667912743060094,190.935972588265,25.8024574482849,22.01322,0.5514257
1237667447806230696,191.652122296624,25.2018952455319,17.59596,0.08506952
1237667253482488939,194.357472444506,29.1761718445772,22.45175,0.694242
1237667322187677884,196.226053065571,26.3737283115229,20.23249,0.3065855
1237667323798225599,196.238518935943,27.5242719150494,22.4995,0.6297258
